Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P1,wonokromo,600000000 ,600 ,3,2,45,70,SHM - Sertifikat Hak Milik,1300,0,2,0,4
P2,rungkut,600000000 ,600 ,3,2,48,2023,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P3,semampir,600000000 ,600 ,3,3,48,85,SHM - Sertifikat Hak Milik,1300,1,3,1,2
P4,pakal,600000000 ,600 ,2,1,50,91,HGB - Hak Guna Bangunan,1300,1,1,1,4
P5,rungkut,600000000 ,600 ,2,1,60,60,SHM - Sertifikat Hak Milik,1300,1,1,1,3
P6,tambaksari,600000000 ,600 ,3,2,60,120,"Lainnya (PPJB,Girik,Adat,dll)",1300,1,2,1,4
P7,sambikerep,600000000 ,600 ,2,1,65,65,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P8,wonokromo,600000000 ,600 ,2,1,67,67,SHM - Sertifikat Hak Milik,900,1,2,1,2
P9,benowo,600000000 ,600 ,3,2,72,60,SHM - Sertifikat Hak Milik,1300,0,2,1,2
P10,rungkut,600000000 ,600 ,1,2,72,72,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P11,sambikerep,600000000 ,600 ,3,2,72,60,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,1,0,2
P12,sambikerep,600000000 ,600 ,2,1,81,63,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P13,sambikerep,600000000 ,600 ,2,1,84,61,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P14,benowo,600000000 ,600 ,3,2,90,60,SHM - Sertifikat Hak Milik,2200,1,2,0,4
P15,lakarsantri,600000000 ,600 ,4,2,90,90,SHM - Sertifikat Hak Milik,1300,0,1,1,4
P16,tambaksari,600000000 ,600 ,7,1,91,91,SHM - Sertifikat Hak Milik,900,0,1,1,2
P17,tenggilis mejoyo,600000000 ,600 ,2,1,91,50,HGB - Hak Guna Bangunan,1300,1,1,1,4
P18,rungkut,600000000 ,600 ,3,2,94,75,SHM - Sertifikat Hak Milik,1300,1,1,0,2
P19,pakal,600000000 ,600 ,4,1,95,95,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P20,rungkut,615000000 ,615 ,1,2,377,150,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P21,sawahan,620000000 ,620 ,3,1,54,80,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P22,tegalsari,625000000 ,625 ,2,2,45,90,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P23,tambaksari,625000000 ,625 ,2,1,63,50,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P24,sukolilo,625000000 ,625 ,3,2,91,50,SHM - Sertifikat Hak Milik,3300,1,2,1,4
P25,benowo,625000000 ,625 ,2,1,105,70,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P26,wiyung,625000000 ,625 ,4,3,126,180,SHM - Sertifikat Hak Milik,4400,0,2,1,4
P27,tambaksari,630000000 ,630 ,2,1,54,53,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P28,lakarsantri,640000000 ,640 ,2,1,90,70,HGB - Hak Guna Bangunan,1300,0,1,0,2
P29,rungkut,645000000 ,645 ,3,2,49,65,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P30,rungkut,650000000 ,650 ,3,2,50,65,SHM - Sertifikat Hak Milik,1300,1,2,1,4
